Area,Order_ID,Order_Customer,Order_Product,Order_Date,Order_Status
Order,1,1,6,2020-07-04 12:00:00,pending
Order,2,2,5,2020-01-01 12:00:00,delivering
Order,3,3,4,2020-02-14 12:00:00,delivered
Order,4,4,3,2020-04-01 12:00:00,backordered
Order,5,5,2,2020-01-11 12:00:00,pending
Order,6,6,1,2020-03-14 12:00:00,delivered
Order,7,1,1,2019-12-24 12:00:00,delivered
Order,8,2,3,2019-01-01 12:00:00,backordered
Order,9,3,5,2019-11-04 12:00:00,delivered
Order,10,4,2,2020-08-13 12:00:00,pending
Order,11,5,4,2020-05-11 12:00:00,delivered
Order,12,6,6,2020-07-04 12:00:00,delivered
